VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Vehicle Age,Vehicle Category
1N4BZ1CP5K,King,Bellevue,WA,98005,2019,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,48.0,115152558,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601,7,BEV
5YJSA1E22H,Kitsap,Poulsbo,WA,98370,2017,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,23.0,267156263,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502,9,BEV
1G1FX6S0XJ,Kitsap,Poulsbo,WA,98370,2018,Chevrolet,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,23.0,144877981,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100,8,BEV
KNDCR3LF8P,Snohomish,Monroe,WA,98272,2023,Kia,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,39.0,254596093,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203,3,PHEV
WB523CF06S,Snohomish,Bothell,WA,98021,2025,Bmw,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,282569157,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918,1,BEV
5UXTA6C03N,Thurston,Olympia,WA,98501,2022,Bmw,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,22.0,176356806,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011721,4,PHEV
JN1AZ0CP2C,Kitsap,Silverdale,WA,98383,2012,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73.0,23.0,120570271,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091206,14,BEV
1G1FZ6S03L,Snohomish,Snohomish,WA,98290,2020,Chevrolet,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,39.0,255309337,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061053603,6,BEV
5YJXCBE24J,King,Redmond,WA,98052,2018,Tesla,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,48.0,476030908,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803,8,BEV
WBY1Z4C58E,Snohomish,Bothell,WA,98012,2014,Bmw,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,1.0,332387709,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052010,12,PHEV
WMEFJ9BA5J,Kitsap,Bremerton,WA,98312,2018,Smart,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,35.0,284328362,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600,8,BEV
JTJCJMGA6R,Kitsap,Poulsbo,WA,98370,2024,Lexus,RX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37.0,23.0,261795376,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502,2,PHEV
JTMAAAAA4R,Snohomish,Bothell,WA,98012,2024,Toyota,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,262995743,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052107,2,BEV
WBY1Z4C56F,Kitsap,Poulsbo,WA,98370,2015,Bmw,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,23.0,195285191,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100,11,PHEV
1N4AZ0CP4D,King,Seattle,WA,98144,2013,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,11.0,168166071,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010002,13,BEV
1G1RD6E47E,Kitsap,Bremerton,WA,98337,2014,Chevrolet,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,35.0,4138102,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600,12,PHEV
5YJSA1E23H,King,Duvall,WA,98019,2017,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,45.0,120869150,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402,9,BEV
5YJXCDE2XH,Yakima,Yakima,WA,98908,2017,Tesla,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,14.0,292177399,POINT (-120.60272 46.59656),PACIFICORP,53077000902,9,BEV
5YJSA1DN9D,Snohomish,Brier,WA,98036,2013,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,1.0,293019996,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913,13,BEV
7SAYGDEE3S,Snohomish,Bothell,WA,98012,2025,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,272882333,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052107,1,BEV
